time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2023-02-13,30.7,24.7,33.6,27.6,2.7,25.8,36.4,239,18.25,4.59
2023-02-14,27.0,23.4,29.3,25.9,18.7,24.7,44.6,238,5.35,1.94
2023-02-15,30.6,24.7,34.5,27.0,3.6,21.4,42.1,249,21.68,5.14
2023-02-16,29.9,24.2,31.4,25.7,2.2,22.0,39.2,258,11.19,3.36
2023-02-17,29.4,24.8,34.9,28.2,8.7,13.8,31.7,273,9.03,2.3
2023-02-18,31.3,24.3,35.8,28.0,2.5,14.8,18.4,284,24.18,5.35
2023-02-19,31.4,25.3,36.5,28.9,4.0,15.5,33.8,279,22.04,4.8
2023-02-20,31.8,23.7,37.0,28.0,0.2,16.6,35.3,266,23.31,4.95
2023-02-21,29.8,23.9,34.9,28.5,7.2,12.8,33.8,278,16.89,3.48
2023-02-22,29.0,24.2,33.4,29.1,7.3,11.4,31.7,305,11.62,2.5
2023-02-23,28.7,23.9,33.3,28.7,18.9,11.5,33.1,311,11.53,2.45
2023-02-24,28.0,24.3,33.2,29.5,18.7,10.7,29.9,290,10.21,2.18
2023-02-25,29.3,24.0,33.6,29.0,10.6,12.3,34.6,283,12.87,2.76
2023-02-26,29.0,23.9,33.5,28.7,14.8,11.5,34.6,305,13.9,2.9
2023-02-27,28.2,24.1,33.0,29.1,29.2,12.7,38.9,274,9.24,2.02
2023-02-28,29.9,23.4,34.3,27.6,10.8,13.7,45.4,256,13.39,2.91
2023-03-01,28.8,24.2,34.0,28.8,7.6,14.8,43.2,272,12.91,2.73
2023-03-02,27.5,23.9,32.0,28.5,3.5,11.0,37.4,274,8.38,1.76
2023-03-03,31.0,23.4,36.3,27.9,2.6,14.6,38.5,270,19.85,4.18
2023-03-04,29.7,23.8,35.7,28.4,8.1,12.6,40.3,271,14.77,3.15
2023-03-05,30.0,23.7,35.2,28.4,4.1,11.7,37.4,278,18.24,3.77
2023-03-06,31.6,23.3,37.0,27.3,2.1,13.3,32.4,269,21.05,4.52
2023-03-07,32.0,23.3,37.1,27.7,2.1,14.8,32.4,292,22.7,4.82
2023-03-08,29.5,24.0,35.3,29.3,2.8,9.6,25.9,302,18.78,3.82
2023-03-09,30.4,24.7,36.9,30.2,3.6,9.9,23.0,360,18.15,3.74
2023-03-10,31.2,23.9,37.4,29.3,7.7,12.1,26.6,329,20.31,4.24
2023-03-11,32.5,22.6,38.9,25.0,12.5,11.0,26.3,360,20.25,4.32
2023-03-12,31.0,24.7,36.7,28.4,10.4,10.8,25.6,334,19.42,4.1
2023-03-13,33.2,23.4,38.8,26.6,11.0,13.1,29.5,330,22.08,4.78
2023-03-14,28.2,23.6,32.8,27.1,16.9,9.0,19.1,302,10.84,2.32
2023-03-15,28.1,23.7,33.1,27.7,28.4,6.1,15.1,96,11.63,2.42
2023-03-16,31.2,23.9,36.0,29.0,0.1,13.0,27.7,36,19.76,4.2
